,date_use,total_cases,new_case,avg_cases,total_deaths,new_deaths,avg_deaths
264,3/1/20,162,25,NA,0,0,NA
263,3/2/20,181,19,NA,0,0,NA
262,3/3/20,194,13,NA,0,0,NA
261,3/4/20,213,19,NA,0,0,NA
260,3/5/20,246,33,NA,0,0,NA
259,3/6/20,289,43,NA,0,0,NA
258,3/7/20,330,41,28,0,0,0
257,3/8/20,376,46,31,0,0,0
256,3/9/20,463,87,40,0,0,0
255,3/10/20,559,96,52,0,0,0
254,3/11/20,691,132,68,0,0,0
253,3/12/20,848,157,86,0,0,0
252,3/13/20,999,151,101,0,0,0
251,3/14/20,1143,144,116,0,0,0
250,3/15/20,1311,168,134,0,0,0
249,3/16/20,1531,220,153,0,0,0
248,3/17/20,1738,207,168,0,0,0
247,3/18/20,1924,186,176,0,0,0
246,3/19/20,2141,217,185,4,4,1
245,3/20/20,2391,250,199,7,3,1
244,3/21/20,2584,193,206,10,3,1
243,3/22/20,2836,252,218,14,4,2
242,3/23/20,3127,291,228,21,7,3
241,3/24/20,3409,282,239,24,3,3
240,3/25/20,3847,438,275,31,7,4
239,3/26/20,4220,373,297,35,4,4
238,3/27/20,4593,373,315,44,9,5
237,3/28/20,4985,392,343,52,8,6
236,3/29/20,5355,370,360,67,15,8
235,3/30/20,5973,618,407,78,11,8
234,3/31/20,6615,642,458,95,17,10
233,4/1/20,7231,616,483,114,19,12
232,4/2/20,7849,618,518,136,22,14
231,4/3/20,8637,788,578,162,26,17
230,4/4/20,9228,591,606,183,21,19
229,4/5/20,9820,592,638,206,23,20
228,4/6/20,10356,536,626,223,17,21
227,4/7/20,11056,700,634,248,25,22
226,4/8/20,11662,606,633,288,40,25
225,4/9/20,12236,574,627,323,35,27
224,4/10/20,12818,582,597,353,30,27
223,4/11/20,13294,476,581,383,30,29
222,4/12/20,13729,435,558,420,37,31
221,4/13/20,14407,678,579,462,42,34
220,4/14/20,15069,662,573,509,47,37
219,4/15/20,15916,847,608,544,35,37
218,4/16/20,16681,765,635,602,58,40
217,4/17/20,17514,833,671,641,39,41
216,4/18/20,18127,613,690,679,38,42
215,4/19/20,18615,488,698,715,36,42
214,4/20/20,19552,937,735,762,47,43
213,4/21/20,20428,876,766,802,40,42
212,4/22/20,21204,776,755,849,47,44
211,4/23/20,22177,973,785,900,51,43
210,4/24/20,23191,1014,811,944,44,43
209,4/25/20,24091,900,852,983,39,43
208,4/26/20,24693,602,868,1024,41,44
207,4/27/20,25773,1080,889,1061,37,43
206,4/28/20,26729,956,900,1115,54,45
205,4/29/20,27721,992,931,1157,42,44
204,4/30/20,28638,917,923,1202,45,43
203,5/1/20,29561,923,910,1238,36,42
202,5/2/20,30268,707,882,1287,49,43
201,5/3/20,30742,474,864,1331,44,44
200,5/4/20,31676,934,843,1375,44,45
199,5/5/20,32932,1256,886,1412,37,42
198,5/6/20,33932,1000,887,1465,53,44
197,5/7/20,34885,953,892,1515,50,45
196,5/8/20,35886,1001,904,1565,50,47
195,5/9/20,36585,699,902,1614,49,47
194,5/10/20,37173,588,919,1646,32,45
193,5/11/20,38355,1182,954,1674,28,43
192,5/12/20,39450,1095,931,1722,48,44
191,5/13/20,40399,949,924,1763,41,43
190,5/14/20,41649,1250,966,1794,31,40
189,5/15/20,42871,1222,998,1837,43,39
188,5/16/20,43628,757,1006,1889,52,39
187,5/17/20,44176,548,1000,1927,38,40
186,5/18/20,45339,1163,998,1972,45,43
185,5/19/20,46296,957,978,2019,47,42
184,5/20/20,47453,1157,1008,2048,29,41
183,5/21/20,48401,948,965,2075,27,40
182,5/22/20,49371,970,929,2118,43,40
181,5/23/20,50114,743,927,2152,34,38
180,5/24/20,50623,509,921,2190,38,38
179,5/25/20,51565,942,889,2218,28,35
178,5/26/20,53249,1684,993,2258,40,34
177,5/27/20,54636,1387,1026,2305,47,37
176,5/28/20,55900,1264,1071,2337,32,37
175,5/29/20,57390,1490,1146,2370,33,36
174,5/30/20,58309,919,1171,2407,37,36
173,5/31/20,58796,487,1168,2437,30,35
172,6/1/20,59999,1203,1205,2474,37,37
171,6/2/20,61401,1402,1165,2504,30,35
