date_of_interest,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,1,1,0
3/4/20,5,2,0
3/5/20,3,8,0
3/6/20,8,5,0
3/7/20,7,6,0
3/8/20,21,15,0
3/9/20,58,30,0
3/10/20,69,48,0
3/11/20,155,73,1
3/12/20,355,79,0
3/13/20,619,144,0
3/14/20,642,155,2
3/15/20,1035,196,5
3/16/20,2121,330,8
3/17/20,2452,359,8
3/18/20,2971,491,20
3/19/20,3707,570,24
3/20/20,4007,702,47
3/21/20,2637,736,44
3/22/20,2579,763,50
3/23/20,3570,1111,82
3/24/20,4501,1244,95
3/25/20,4874,1396,123
3/26/20,5047,1543,189
3/27/20,5116,1502,218
3/28/20,3479,1439,274
3/29/20,3563,1473,291
3/30/20,6130,1835,325
3/31/20,5459,1804,385
4/1/20,5449,1757,448
4/2/20,5748,1732,498
4/3/20,5670,1688,498
4/4/20,3865,1430,511
4/5/20,3781,1394,580
4/6/20,6353,1805,575
4/7/20,6043,1686,599
4/8/20,5580,1618,569
4/9/20,5070,1482,561
4/10/20,4511,1395,540
4/11/20,3732,1161,542
4/12/20,2887,1034,572
4/13/20,3312,1263,570
4/14/20,4144,1128,510
4/15/20,3878,1003,455
4/16/20,3530,902,414
4/17/20,3585,898,385
4/18/20,2172,666,390
4/19/20,2346,587,399
4/20/20,3792,709,364
4/21/20,3063,654,323
4/22/20,3448,577,312
4/23/20,2841,504,331
4/24/20,2535,517,314
4/25/20,1596,366,264
4/26/20,1003,339,246
4/27/20,2288,394,270
4/28/20,2727,395,229
4/29/20,2341,327,240
4/30/20,2022,283,225
5/1/20,1887,292,210
5/2/20,1058,225,190
5/3/20,787,216,177
5/4/20,1552,253,159
5/5/20,1512,229,151
5/6/20,1398,229,152
5/7/20,1237,198,142
5/8/20,1082,208,131
5/9/20,658,146,99
5/10/20,457,108,103
5/11/20,1231,192,104
5/12/20,1285,136,91
5/13/20,1335,151,83
5/14/20,1113,146,70
5/15/20,875,140,87
5/16/20,487,91,83
5/17/20,359,83,77
5/18/20,896,112,59
5/19/20,1004,127,55
5/20/20,1077,88,80
5/21/20,1069,95,45
5/22/20,1039,115,65
5/23/20,456,73,60
5/24/20,468,82,49
5/25/20,467,86,48
5/26/20,1054,75,38
5/27/20,744,84,48
5/28/20,646,79,38
5/29/20,648,92,43
5/30/20,349,57,54
5/31/20,230,62,39
6/1/20,687,79,35
6/2/20,574,70,38
6/3/20,516,81,43
6/4/20,524,74,33
6/5/20,404,58,28
6/6/20,246,41,35
6/7/20,198,54,25
6/8/20,451,62,39
6/9/20,421,61,33
6/10/20,365,60,31
6/11/20,366,56,21
6/12/20,411,59,24
