"","date_use","total_cases","new_case","avg_cases","total_deaths","new_deaths","avg_deaths"
"1",2020-11-19,339357,147,2404,6996,11,12
"2",2020-11-18,339210,1716,2783,6985,5,13
"3",2020-11-17,337494,3631,2942,6980,19,14
"4",2020-11-16,333863,4205,2822,6961,18,12
"5",2020-11-15,329658,1518,2646,6943,14,11
"6",2020-11-14,328140,2563,2570,6929,11,11
"7",2020-11-13,325577,3051,2463,6918,8,11
"8",2020-11-12,322526,2798,2358,6910,13,12
"9",2020-11-11,319728,2829,2303,6897,12,12
"10",2020-11-10,316899,2791,2245,6885,11,11
"11",2020-11-09,314108,2974,2120,6874,11,12
"12",2020-11-08,311134,982,1962,6863,11,12
"13",2020-11-07,310152,1818,1930,6852,10,13
"14",2020-11-06,308334,2314,1830,6842,18,13
"15",2020-11-05,306020,2416,1690,6824,8,12
"16",2020-11-04,303604,2421,1529,6816,10,13
"17",2020-11-03,301183,1915,1354,6806,14,14
"18",2020-11-02,299268,1871,1267,6792,11,14
"19",2020-11-01,297397,755,1210,6781,18,14
"20",2020-10-31,296642,1116,1208,6763,13,14
"21",2020-10-30,295526,1335,1200,6750,9,14
"22",2020-10-29,294191,1291,1233,6741,17,16
"23",2020-10-28,292900,1198,1286,6724,13,15
"24",2020-10-27,291702,1300,1357,6711,17,15
"25",2020-10-26,290402,1472,1407,6694,13,15
"26",2020-10-25,288930,742,1456,6681,16,15
"27",2020-10-24,288188,1065,1442,6665,14,14
"28",2020-10-23,287123,1562,1437,6651,19,14
"29",2020-10-22,285561,1666,1405,6632,14,14
"30",2020-10-21,283895,1694,1364,6618,15,14
"31",2020-10-20,282201,1645,1314,6603,14,14
"32",2020-10-19,280556,1821,1254,6589,16,15
"33",2020-10-18,278735,640,1212,6573,9,15
"34",2020-10-17,278095,1033,1193,6564,11,16
"35",2020-10-16,277062,1338,1194,6553,18,15
"36",2020-10-15,275724,1379,1181,6535,14,14
"37",2020-10-14,274345,1339,1157,6521,17,15
"38",2020-10-13,273006,1228,1155,6504,19,16
"39",2020-10-12,271778,1528,1109,6485,15,15
"40",2020-10-11,270250,503,1049,6470,15,15
"41",2020-10-10,269747,1045,1049,6455,9,16
"42",2020-10-09,268702,1245,1025,6446,10,16
"43",2020-10-08,267457,1214,1004,6436,22,16
"44",2020-10-07,266243,1324,999,6414,19,15
"45",2020-10-06,264919,907,976,6395,17,14
"46",2020-10-05,264012,1107,1005,6378,14,13
"47",2020-10-04,262905,504,999,6364,18,14
"48",2020-10-03,262401,875,995,6346,12,14
"49",2020-10-02,261526,1099,974,6334,11,15
