City,YTD Murder,2019 YTD Murder,YTD Violent,2019 YTD Violent,YTD Property,2019 YTD Property,YTD Total,2019 YTD Total
New Orleans,136,88,2452,2287,12201,14330,14653,16617
Washington,141,126,2766,3031,16827,21054,19593,24085
Minneapolis,57,32,3870,3260,14502,14086,18372,17346
Chicago,560,374,12188,12214,21256,23949,33444,36163
Philadelphia,315,243,10620,10864,34987,35768,45607,46632
Dallas,157,151,21539,20875,43771,46249,65310,67124
Oakland,66,52,4134,4212,17823,19767,21957,23979
Boston,45,30,2851,2974,9163,9556,12014,12530
Newark,31,37,1344,1531,3135,3340,4479,4871
New York,327,236,25170,25955,41680,41880,66850,67835
Miami,77,60,4485,4266,19322,22959,23807,27225
Cincinnati,62,46,1296,1193,7182,8142,8478,9335
Baltimore,240,247,6795,8483,12972,18757,19767,27240
Las Vegas,64,64,6599,6838,26642,32802,33241,39640
Nashville,73,54,5825,5377,20426,20117,26251,25494
Atlanta,97,69,2246,2350,11595,14852,13841,17202
Los Angeles,223,197,19788,21409,61602,72080,81390,93489
St Louis,185,136,3915,4065,11923,11565,15838,15630
Denver,52,34,3275,2952,17460,15499,20735,18451
Seattle,29,23,2997,3127,23158,24411,26155,27538
Plano,1,1,301,282,3108,3233,3409,3515
Fort Wayne,24,13,744,582,3701,4155,4445,4737
Louisville,104,62,4378,3326,16209,17673,20587,20999
Lincoln,4,4,896,758,5617,5426,6513,6184
Houston,229,176,19769,16904,64896,67615,84665,84519
Portland,25,22,2113,2224,18809,20444,20922,22668
TOTALS,3324,2577,172356,171339,539967,589709,691401,738380
