date_of_interest,NYCase,NYDeath,LACase,LADeath
02/29/2020,1,0,25,0
03/01/2020,0,0,19,0
03/02/2020,0,0,13,0
03/03/2020,1,0,19,0
03/04/2020,5,0,33,0
03/05/2020,3,0,43,0
03/06/2020,8,0,41,0
03/07/2020,7,0,47,0
03/08/2020,21,0,87,0
03/09/2020,57,0,96,0
03/10/2020,69,0,132,0
03/11/2020,155,1,157,0
03/12/2020,355,0,152,0
03/13/2020,619,0,144,0
03/14/2020,642,2,168,0
03/15/2020,1036,5,223,0
03/16/2020,2121,8,208,0
03/17/2020,2452,8,187,0
03/18/2020,2971,20,217,4
03/19/2020,3707,24,252,3
03/20/2020,4007,47,195,3
03/21/2020,2637,44,253,4
03/22/2020,2579,49,291,7
03/23/2020,3570,82,281,3
03/24/2020,4501,95,436,7
03/25/2020,4874,123,373,4
03/26/2020,5047,188,374,9
03/27/2020,5116,218,393,8
03/28/2020,3479,274,370,15
03/29/2020,3563,291,616,11
03/30/2020,6130,325,638,17
03/31/2020,5459,385,614,19
04/01/2020,5449,448,620,22
04/02/2020,5748,498,788,26
04/03/2020,5670,498,591,21
04/04/2020,3865,511,592,23
04/05/2020,3781,580,537,17
04/06/2020,6353,575,701,25
04/07/2020,6043,599,606,40
04/08/2020,5580,569,574,35
04/09/2020,5070,561,582,30
04/10/2020,4511,539,476,30
04/11/2020,3732,542,435,37
04/12/2020,2888,572,678,42
04/13/2020,3312,570,662,47
04/14/2020,4144,509,846,35
04/15/2020,3878,455,765,58
04/16/2020,3530,414,833,39
04/17/2020,3585,384,613,38
04/18/2020,2172,390,489,36
04/19/2020,2346,399,937,47
04/20/2020,3792,364,876,40
04/21/2020,3063,323,776,47
04/22/2020,3448,312,972,51
04/23/2020,2841,331,1014,44
04/24/2020,2535,314,900,39
04/25/2020,1596,264,602,41
04/26/2020,1003,246,1080,37
04/27/2020,2288,270,956,54
04/28/2020,2728,229,992,42
04/29/2020,2341,240,918,45
04/30/2020,2022,225,922,36
05/01/2020,1887,210,707,49
05/02/2020,1058,190,474,44
05/03/2020,786,177,933,44
05/04/2020,1552,159,1257,37
05/05/2020,1512,151,999,53
05/06/2020,1398,152,953,50
05/07/2020,1237,142,999,50
05/08/2020,1082,131,699,50
05/09/2020,658,99,587,32
05/10/2020,457,103,1180,28
05/11/2020,1231,104,1095,48
05/12/2020,1285,91,949,41
05/13/2020,1335,83,1250,31
05/14/2020,1113,70,1121,43
05/15/2020,875,87,757,52
05/16/2020,487,83,548,38
05/17/2020,359,77,1163,45
05/18/2020,896,59,957,47
05/19/2020,1004,55,1156,29
05/20/2020,1077,80,946,27
05/21/2020,1069,45,971,43
05/22/2020,1039,65,743,34
05/23/2020,456,60,508,38
05/24/2020,468,49,942,28
05/25/2020,467,48,1683,40
05/26/2020,1054,38,1385,47
05/27/2020,744,48,1264,32
05/28/2020,646,38,1490,33
05/29/2020,648,43,919,37
05/30/2020,349,53,487,30
05/31/2020,230,39,1203,37
06/01/2020,687,35,1403,30
06/02/2020,574,38,1335,45
06/03/2020,516,43,1541,45
06/04/2020,524,33,1383,40
06/05/2020,404,28,1082,35
06/06/2020,247,35,696,35
06/07/2020,198,25,1561,38
06/08/2020,451,39,1340,36
06/09/2020,421,33,1510,26
06/10/2020,365,32,1412,24
06/11/2020,366,21,1497,29
06/12/2020,410,23,1259,28
06/13/2020,197,15,856,29
06/14/2020,181,24,2008,32
06/15/2020,383,20,1857,24
06/16/2020,420,18,1915,40
06/17/2020,357,20,1826,29
06/18/2020,378,17,1799,35
06/19/2020,363,16,1497,39
06/20/2020,204,18,947,30
06/21/2020,172,27,2210,30
06/22/2020,398,24,2430,21
06/23/2020,383,27,2655,37
06/24/2020,381,25,2918,26
06/25/2020,299,18,2847,31
06/26/2020,314,20,2048,24
06/27/2020,207,19,1099,40
06/28/2020,203,19,2953,32
