,Period,CrimeNY,CrimeLA,CaseNY,DeathNY,CaseLA,DeathLA
0,2020-03-01,1654,350,0,0,25,0
1,2020-03-02,1279,393,0,0,19,0
2,2020-03-03,1255,396,1,0,13,0
3,2020-03-04,1105,425,5,0,19,0
4,2020-03-05,1118,415,3,0,33,0
5,2020-03-06,1155,513,8,0,43,0
6,2020-03-07,1186,477,7,0,41,0
7,2020-03-08,1178,494,21,0,46,0
8,2020-03-09,1210,501,58,0,87,0
9,2020-03-10,1334,514,69,0,96,0
10,2020-03-11,1219,454,155,1,132,0
11,2020-03-12,1162,457,355,0,157,0
12,2020-03-13,1280,569,619,0,151,0
13,2020-03-14,1366,495,642,2,144,0
14,2020-03-15,1432,514,1035,5,168,0
15,2020-03-16,1252,571,2121,8,220,0
16,2020-03-17,1255,562,2452,8,207,0
17,2020-03-18,1083,496,2971,20,186,0
18,2020-03-19,1082,499,3707,24,217,4
19,2020-03-20,1125,543,4007,47,250,3
20,2020-03-21,1131,571,2637,44,193,3
21,2020-03-22,1206,591,2579,50,252,4
22,2020-03-23,1271,606,3570,82,291,7
23,2020-03-24,1320,525,4501,95,282,3
24,2020-03-25,1153,510,4874,123,438,7
25,2020-03-26,1226,530,5047,189,373,4
26,2020-03-27,1239,595,5116,218,373,9
27,2020-03-28,1218,607,3479,274,392,8
28,2020-03-29,1214,626,3563,291,370,15
29,2020-03-30,1187,590,6130,325,618,11
30,2020-03-31,1371,602,5459,385,642,17
31,2020-04-01,1280,516,5449,448,616,19
32,2020-04-02,1122,516,5748,498,618,22
33,2020-04-03,1305,639,5670,498,788,26
34,2020-04-04,1290,553,3865,511,591,21
35,2020-04-05,1282,557,3781,580,592,23
36,2020-04-06,1237,552,6353,575,536,17
37,2020-04-07,1296,596,6043,599,700,25
38,2020-04-08,1157,552,5580,569,606,40
39,2020-04-09,1133,487,5070,561,574,35
40,2020-04-10,1227,603,4511,540,582,30
41,2020-04-11,1206,580,3732,542,476,30
42,2020-04-12,1278,557,2887,572,435,37
43,2020-04-13,1154,601,3312,570,678,42
44,2020-04-14,1336,563,4144,510,662,47
45,2020-04-15,1120,518,3878,455,847,35
46,2020-04-16,1133,481,3530,414,765,58
47,2020-04-17,1219,583,3585,385,833,39
48,2020-04-18,1332,629,2172,390,613,38
49,2020-04-19,1241,590,2346,399,488,36
50,2020-04-20,1170,587,3792,364,937,47
51,2020-04-21,1208,580,3063,323,876,40
52,2020-04-22,1158,574,3448,312,776,47
53,2020-04-23,1175,489,2841,331,973,51
54,2020-04-24,1182,633,2535,314,1014,44
55,2020-04-25,1200,603,1596,264,900,39
56,2020-04-26,1236,592,1003,246,602,41
57,2020-04-27,1195,611,2288,270,1080,37
58,2020-04-28,1221,624,2727,229,956,54
59,2020-04-29,1099,517,2341,240,992,42
60,2020-04-30,1234,491,2022,225,917,45
61,2020-05-01,1239,674,1887,210,923,36
62,2020-05-02,1289,589,1058,190,707,49
63,2020-05-03,1297,578,787,177,474,44
64,2020-05-04,1252,582,1552,159,934,44
65,2020-05-05,1194,567,1512,151,1256,37
66,2020-05-06,1180,484,1398,152,1000,53
67,2020-05-07,1140,515,1237,142,953,50
68,2020-05-08,1189,613,1082,131,1001,50
69,2020-05-09,1316,588,658,99,699,49
70,2020-05-10,1294,609,457,103,588,32
71,2020-05-11,1181,508,1231,104,1182,28
72,2020-05-12,1355,500,1285,91,1095,48
73,2020-05-13,1186,484,1335,83,949,41
74,2020-05-14,1113,453,1113,70,1250,31
75,2020-05-15,986,590,875,87,1222,43
76,2020-05-16,969,547,487,83,757,52
77,2020-05-17,1075,448,359,77,548,38
78,2020-05-18,922,391,896,59,1163,45
79,2020-05-19,1064,389,1004,55,957,47
80,2020-05-20,969,383,1077,80,1157,29
81,2020-05-21,735,349,1069,45,948,27
82,2020-05-22,751,458,1039,65,970,43
